image_id,blip_caption,blip_finetuned_caption,git_caption,git_finetuned_caption,original_caption
1091,a man wearing a white jacket and grey sweat pants,color block paneling and logo patch bring vintage style to this lightweight jacket cut from soft fleece,men ' s vest with a hood,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,charming color block style defines a classic italian jacket built from a lightweight tech blend
1092,a man in a suit and tie standing,a classic suit in a classic cut is tailored from pure wool and framed with smart notched lapel,men ' s suit for the office,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,finely textured virgin wool defines a charming suit framed with smart notch lapel
1093,a man in a blue jacket and blue pants,a classic jacket of italian cashmere is refreshed for the warmer month with a soft textured knit and a sporty ribbed collar,garment in a zip up hoodie,a bold plaid in a modern cut add to the laid back vibe of this sport tee,an easy to wear waffle knit cardigan take it inspiration from classic varsity style with a zip up front and ribbed trim
1094,a woman wearing a long dress with a sheer top and a sheer skirt,a sheer mesh gown with a sheer illusion mesh bodice and a floor sweeping skirt is a dream of the season,long dress in blue,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,dainty floral embroidery add striking texture to the sheer mesh overlay of a statuesque gown backed with a contrast lining to one-piece off the exquisite detailing
1095,a woman wearing a pink hoodie with the word vans on it,a classic van logo is stamped at the chest of this soft cotton hood,the t - shirt is available in colors,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,an iconic van logo skate across the chest of a hooded sweatshirt cut from soft cotton blend fleece with a fit that s easy to move in
1096,a man in a white shirt and blue pants,classic plaid mark a handsome dress tee cut from pure cotton and fitted with a smart spread collar and rounded adjustable button cuff,man in a white shirt,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,faint pink check pattern a handsome button down crafted in a classic fit from smooth lightweight stretch cotton
1097,a man wearing a blue plaid shirt,classic buffalo check mark a handsome sport tee cut from soft cotton and fitted with a smart spread collar and rounded adjustable button cuff,blue plaid shirt in a blue,a bold plaid in a modern cut add to the laid back vibe of this sport tee,classic plaid make this button down tee a stylish go to while stretch cotton fabrication ensures everyday comfort
1098,a woman wearing a grey sweater and white pants,a classic crewneck sweater is updated with a signature logo at the chest and a signature logo at the back,long sleeved sweater with a long sleeve,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,this cozy merino wool blend sweater boast an empowering message that is illuminated along with the striped trim by flashing light
1099,a man wearing a blue shirt and black pants,a cool floral print in pale blue color a warm weather button down tailored in a comfortable fit from breathable cotton,men ' s shirt in white and gray,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a lightweight blend of cotton and linen furthers the relaxed comfort of a warm weather button down that look great layered or on it own
1100,a woman in a white shirt and jeans,a cool and cool take on the military jacket this lightweight jacket is cut from soft brushed twill and fitted with a wide belt,jeans with pockets in the front,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,your mom s high waisted and tapered 90 go to jeans have never looked cooler than in nonstretch denim with a single rip on the knee
1101,a woman in a black dress and white sneakers,a soft and stretchy knit dress is cut with a wide surplice neckline and a flattering silhouette,black dress with a jacket,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,a pared down tank dress with sleek covered button down the front is one you ll want to reach for time and time again
1102,a man wearing a gray shirt and shorts,lightweight stretch cotton tech fabric mean all day comfort in these lightweight running shorts fitted with a zip pocket for stowing key cash and cash,men ' s shorts in black and white,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,keep perfectly comfortable no matter the weather in lightweight elastic waist shorts featuring a slim fit and coolmax technology
1103,a woman in a grey crop top and black jeans,a cropped tee is cut from a soft and stretchy cotton blend with a cropped fit and a cropped length,black jeans with a cropped top,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,effortless off duty style is the name of the game with this washed raw hem tee in a perfectly cropped cut
1104,a woman wearing a floral top,a chic floral print is the perfect choice for the sunny season in this flowy chiffon top styled with flutter sleeve and a flowy high low hem,black flower top with blue flowers in the back,a bold plaid in a modern cut add to the laid back vibe of this sport tee,find your muse in this flutter sleeve top cut from crinkly chiffon with an ornate floral print for everyday romance
1105,a woman in a black top and pants,a sparkling top of sparkling sequin and sheer mesh is a sweet and party ready essential,black and white polka dot blouse with ruffles and a ruffle on the back,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,shiny metallic star light up this night out top styled with eye catching cutout and a flouncy peplum
1106,a woman in a black swimsuit with colorful flowers,a vibrant tropical floral print add a splash of color to this sleek swimsuit with a plunging neckline and adjustable strap,swimwear for women in the summer,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,look 10 pound lighter in 10 second a notched sweetheart neckline and vibrant ruched side give this one one-piece a flattering silhouette
1107,sorel men ' s winter boots,a waterproofing boot with a plush fleece lining is a classic you ll reach for on the slope or the sidewalk,i have these boots in black and red,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,temperature rated to 22 f 30 c this waterproof seam sealed boot with a plush faux fur lining and grippy sole let you take on winter s worst
1108,the white feather clutch bag,a sparkling crystal encrusts the flap of this chic flap bag crafted from lustrous imitation pearl and trimmed with a lustrous feathery finish,this bag is made of fur and is made from a heavy bag.,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,floaty feather bring fluttery texture and dimension to an elegant box clutch furnished with a gleaming chain strap
1109,a man wearing a white hoodie with a palm tree on it,a palm tree graphic is rendered in signature color on the chest of a hooded sweatshirt cut from soft fleece in a roomy fit,the hoodie is a must have in your closet!,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,an oversized hood get an upscale spin from patent drawstring and a photographic print symbolizing the italian based brand s root in la skate culture
1110,a man wearing a polo shirt and jeans,a classic whale logo brand the chest of a polo cut from soft pima cotton,polo shirt with a pocket,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,an extra soft cotton polo get upgraded with pewter toned button and a logo medallion regally added to the chest
1111,cee men ' s watch with black dial,a classic round watch with a bold swiss movement and a bold orange accent is the perfect choice for any day of the week,black dial watch with white dial and black dial.,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,for the guy who balance his athletic prowess with his sharp sophisticated style this self winding swiss automatic watch fuse classic design with sporty everyday functionality bold luminous hand and marker a tachymeter bezel and shock resistance completes the multipurpose timepiece
1112,a woman wearing a green floral dress,a floral print dress with a flouncy skirt is cut from a soft and drapey fabric with a touch of stretch for comfort,woman in green dress,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,luxurious chiffon fashion this floral frock designed with a flattering v neck layered bell sleeve and a ruffled asymmetrical hem
1113,the row leather bucket bag,a slouchy bucket bag is crafted from supple italian leather and trimmed with a signature thongs at the top,black leather bag with a zipper,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,smooth faux leather brings a sophisticated finishing touch a sleek contemporary backpack with adjustable shoulder strap
1114,a pair of black pumps with a heel,a glossy patent finish and a squared off toe make this pump a comfortable a you are,womens shoes in brown,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,a broken profile heel smartly update a day or evening pump styled for versatility with a low topline and softly pointed toe
1115,a woman wearing a leopard print coat,a leopard spotted faux fur coat is a classic of the season,leopard print coat in blue jeans and a white t - shirt,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,fierce animal patterned faux fur make this reversible three quarter coat a stylish standout
1116,a pair of black sandals with a white background,a jute wrapped platform and jute trim add a touch of island ease to this chic slide sandal,sandal in black leather,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,an asymmetrical strap distinguishes a simple sandal with an espadrille style sole
1117,a man in a white shirt and black pants,a bold and simple logo patch add a signature element to the vintage inspired style of these slim straight leg jeans,men ' s black suit with tie and shoes over white background,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,rip across the knee bring style across your wardrobe in jeans fit jeans cut from stretch cotton denim
1118,a white sweater and a pair of shoes,a soft cashmere sweater is a cozy essential for the chilly day,white long sleeved tee with a long sleeve,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,with slightly puffed shoulder and a flattering u neckline this cozy long sleeved top is easy to wear and effortlessly feminine
1119,a woman wearing a blue and pink jacket,a watercolor print of a sunset inspired landscape enlivens this cozy down jacket with a cozy hood and a cozy ribbed trim,jacket with a hood from comma,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a sunrise gradient add stunning style to this warm water repellent ski jacket furnished with all the essential detail for a day on the slope
1120,a man wearing a white shirt and blue jeans,a cool tie dye print is splashed with color all over a warm weather polo cut in a comfortable fit from breathable pima cotton,men ' s short sleeved shirt with a purple and white design,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,worthy of a night out this polo is cut from luxurious mercerized cotton and trimmed with a woven collar for standout structure
1121,a woman in a white shirt and jeans,a faded wash and whiskering give these jeans a vintage feel,jeans - - i ' m in love with this pair of jeans,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a shadowed coin pocket and a split back pocket are cool update to kicky cropped jeans crafted from premium stretch denim with just the right amount of give
1122,a man in a brown uniform stands in front of a white background,a classic military jacket of durable cotton twill is tailored for a comfortable fit with a wide spread collar and flap pocket,men ' s brown trench coat with a collar,a bold plaid in a modern cut add to the laid back vibe of this sport tee,a khaki tee evokes a vintage military vibe with a quartet of button flap pocket and reinforced d ring to roll the sleeve
1123,women ' s quilted down vest,channel quilting and a quilted down inset add a cozy element to this lightweight down vest,yellow vest with a white shirt,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,perfect for a chilly morning walk or weekend on the water this flattering chevron quilted vest is slim enough to top under other outerwear
1124,a woman in a dress and heels posing,a drapey belt cinch the waist of this drapey shirtdress designed with a waist defining tie and a waist defining belt,long dress in brown,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,neutral hue offer endless wearability to this polished dress styled with a high neck and defined at the waist with a matching sash tie
1125,bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu,a classic check pattern this lightweight tee is cut from lightweight fabric for a comfortable fit,i ' m in love with this plaid shirt!,a bold plaid in a modern cut add to the laid back vibe of this sport tee,bridging past and present this cotton stretch twill tee patterned in a 60 era check can be turned up at the cuff to reveal the brand s new icon stripe
1126,a woman wearing a black top with ru rus,a ruffled hemline and a pretty floral pattern add a sweet touch to this chiffon blouse,woman in black sweater and jeans,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,allover ruffle and a stippled pattern energize a gauzy long sleeve top that s an instant style upgrade
1127,a woman wearing a grey sweater and black pants,a cozy and cozy sweater is knit from a soft cashmere blend for a cozy fit and a cozy turtleneck,woman in gray sweater with hands on hips,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,a cozy funnel neck detailed with a side zip elevates a comfy cotton blend top with raglan sleeve for a casually cool look that will carry you through all three trimester
1128,puer boys ' s sneakers,a sporty mesh upper and signature signature signature sole bring signature style to this ultra lightweight sneaker with a signature cushioned arch support footbed,i have a pair of these in blue and white.,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,designed to keep up with your most brutal circuit and high intensity interval this training shoe put performance stability and cushioning under each step
1129,a pair of black and orange floral slides,a bold floral print is the signature motif of this italian crafted slide sandal,slipper in black with flowers,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,an eye catching painterly print add understated elegance to a versatile slide sandal
1130,a woman wearing a blue dress with a floral print,a sheer floral print of sheer lace and sheer mesh enlivens this flowy dress cut with a flattering high low hem,the dress is made from % cotton and is available in sizes.,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,this slipdress slip into something more beguiling with a hand applied marbled pattern and delicate eyelash lace trimming the bodice and jagged hemline
1131,a man in a white shirt and jeans,a dark indigo wash with fading and whiskering brings instant old favorite status to these slim straight leg jeans cut from premium japanese stretch denim,jeans - - i ' m not sure if i ' m wearing this.,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,a subtly faded wash furthers the authentic appeal of straight leg jeans finished with signature stitching at the back pocket
1132,a woman in a gray bikini top and panties,soft stretchy fabric shape the leg of these classic hipster brief that will be a comfortable a they are comfortable,full length image of a female legs in a bikini.,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,this thongs in amazingly soft stretchy nylon mesh contour to the body for an ultra comfy fit
1133,a woman wearing a white sweatshirt and sweat pants,a cozy and cozy sweatshirt is made from a soft and cozy fleece with a colorful splatter print,long sleeved shirt with a bow,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,lively color splotch energize this comfortably oversized pullover styled with exposed seaming and dropped shoulder
1134,a woman wearing a black sweater and jeans,a ribbed knit add a cozy touch to this cozy sweater that s a cozy a it is cozy,black sweater with a zipper,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a durable water resistant sole,a trio of bright button sits on the shoulder of this classic cable sweater knit from soft cotton yarn
1135,a pair of earrings with a bow and a stone,a pair of statement earring with a mix of stone and lustrous imitation pearl are crafted in italy from lustrous 18 karat gold,a pair of 18k gold and diamond earrings,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,worn on the spring 2020 runway these 80 inspired clip on earring showcase double t logo dripping with icy hand cast drop
1136,a woman wearing a blue and white striped sweater,a classic striped turtleneck is refreshed for the season with a soft cashmere kissed knit,navy blue striped long sleeve sweater with a long sleeve,a bold plaid in a modern cut add to the laid back vibe of this sport tee,christian wijnants brings a fresh jolt of graphic energy to your closet with this pullover of cozy jacquard knit from italy wrapped with jagged edge stripe
1137,a pair of cork cork sandals with a cork sole,a cork cushioned footbed brings comfort to a chic slide sandal with a signature signature logo embossed strap,sandal in blue and brown,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,metallic embroidery provides an eye catching update for this minimalist two strap sandal
1138,a woman in a dress with buttons on the side,a button front dress with a flattering silhouette is cut from soft stretchy fabric with a waist defining belt and a signature signature signature signature logo patch,dress in olive green,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,button detail and a matching belt add vintage sophistication to this crisp linen blend sheath dress
1139,a pair of sunglasses with a brown lens,these lightweight sunglass are crafted in italy from lightweight polycarbonate for all day comfort,sunglasses in black and white,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a modified cat eye silhouette with a keyhole bridge defines italian crafted sunnies finished with signature arrow hardware at the temple
1140,a man in a black sweater and jeans,a classic crewneck sweater is cut from a soft and cozy wool blend for easy layering,men ' s black long sleeved sweater with a long sleeve,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,paige s signature sueded french terry give this easy crewneck sweatshirt a velvety soft feel
1141,a woman in a black dress and white shoes,a ruched skirt and a waist defining tie make this long sleeve minidress feel like a little retro,"black dress with a v - neck, long sleeves, and a v - neckline.",a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,lustrous stud elevate this shapely surplice neck top designed with eye catching drape
1142,a woman in a brown jacket and striped shirt,a classic tweed blazer is updated with a touch of stretch for comfort and a touch of stretch for comfort,woman in a striped shirt and jeans,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,rich color update a jacket with a refined heritage in a fitted silhouette with sharp shoulder and a pop of contrast under the collar
1143,a woman wearing a white blouse and black pants,a sweet and sweet blouse of silk and silk is fashioned with a sweet smocked waist and billowy sleeve,white blouse with a ruffled collar,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,metallic thread darting through this crinkly ruffled blouse give the bohemian style the subtlest hint of glamour
1144,a woman in a black dress and sandals,a sheer mesh bodice and a pleated skirt enhance the vintage romance of this chic midi dress,black dress with lace trim over the bust,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,akris punto offer a sophisticated take on it mainstay dot motif with this lace midi dress left unlined at the yoke and hem to give a glimpse of skin
1145,a man wearing a swimsuit with a tropical print,a tropical palm print can t hide the ocean breeze of these soft quick drying swim trunk cut from quick drying fabric for comfort in and out of the water,summer in blue and green,a bold plaid in a modern cut add to the laid back vibe of this sport tee,tropical flower and billowing leaf keep thing splash ready in swim trunk cut from stretchy fabric for comfort in and out of the water
1146,a woman in a dress with a halt neck,a camo print dress with a lace up neckline is cut with a thigh high slit for a flattering fit,long black dress with a zipper in the front,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,muted tiger stripe and a fitted skirt create a sultry look while a drawstring waist add a casual sporty touch
1147,black sued ankle strap sandals,a stiletto heel and slender strap add a modern twist to this stiletto sandal,black high heeled shoe with a strap,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,knotted t strap add interest to a lightly cushioned sandal lifted by a slim tapered heel
1148,a pair of black leather shoes with laser detailing,a perforated block heel and a squared off toe make this pump a comfortable a they are comfortable,black suede shoes with silver glitter. $ 15. 00. 00,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,perforated with diamond and dot this playfully chic pump feature a rounded cap toe cushy memory foam footbed and a walkable wrapped heel
1149,a pair of earrings with red and black beads,a mix of stone and resin mix on these statement earring that are a modern take on the classic,earrings in sterling silver with a red stone,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,chunky warm hued semiprecious stone are stacked in these swingy statement earring that boast an earthy vibe
1150,a woman wearing a white sweater and white pants,a cozy wool blend sweater is a classic in a classic silhouette with a classic v neck and a classic v neck,white sweater with a long sleeve,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,silvery yarn whip through the creamy argyle pattern of this v neck cashmere blend pullover cut for a relaxed blousy fit
1151,a woman wearing a blue dress with a green and black pattern,a vibrant floral print enlivens this flowy dress cut from sheer chiffon and trimmed with sheer sheer sleeve,long dress with a long neckline and a long sleeved shirt,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,flaunting a rich print this georgette dress is also a wealth of unexpected detail like sporty ribbed trim a gleaming front zipper and logo striped border
1152,a pair of black leather ankle boots,a signature signature medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion medallion,black suede over the knee boots,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,pull on style never looked so chic a it doe on this leather boot stylishly inset with elastic goring to keep the fashionable look utterly effortless
1153,saint laurent white leather clutch bag,a minimalist logo monogrammed with a signature logo is stamped on the side of a leather pouch designed for a well organized travel bag,the new black cat in the bag,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a sharp geometric pattern at the exterior is matched by smart design at the interior of a super versatile bag featuring a removable strap and lot of pocket
1154,a man in a blue shirt and black pants,a dense check grid mark a charming dress tee featuring a wide spread collar and rounded adjustable button cuff,men ' s shirt in a blue,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,clean cut check touch up a handsome dress tee fashioned from wrinkle free cotton for a fresh look that last
1155,a pair of sandals with straps and a heel,a cushy footbed cushion the foot in this ultra comfortable sandal with a cushy footbed for all day comfort,these sandals are made from recycled plastic bags.,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,crystal encrusted strap add sparkling glamour to this party ready sandal one-piece on a low heel
1156,a woman in a black sweater and jeans,a soft and cozy sweater is knit from a soft wool blend for a cozy feel,long sleeved long sleeved long sleeved long sleeved long sleeved long sleeved long sleeved long sleeved long sleeve turtleneck sweater in navy blue,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,sparkle blanket this shapely sweater boasting all day and all night charm
1157,a pair of socks with stripes on them,a classic striped sock is cut from a soft and stretchy blend for all day comfort,person - - i have a pair of socks!,a bold plaid in a modern cut add to the laid back vibe of this sport tee,smart stripe touch up versatile sock knit from a smart combed cotton blend with a reinforced heel and hand linked toe
1158,a woman wearing a grey top and shorts,a soft and stretchy cotton blend make this pajamas tee feel great on the beach or on the boardwalk,a pair of short shorts,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,ruffle hem shorts in a soft cotton blend make it easy to drift off in comfort and look cute while doing it
1159,a woman wearing a blue shirt and white shorts,a classic menswear inspired button down is cut from lightweight linen and linen for a fresh and easy fit,woman in blue shirt,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,pleat at the yoke and shoulder bring extra volume to this slubbed cotton tee finished with wide contrasting cuff
1160,black pointed heel pumps,a pointy toe pump is crafted with a signature cushioned arch support footbed for all day comfort,shoes in black,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,timeless yet comfortable this sophisticated pump feature a cushioned footbed flexible sole and high heel that s slender but not too jeans
1161,a woman in a dress with a floral pattern,a vintage floral print is refreshed for the season with this soft jersey dress that s a classic for the office or after hour,long sleeved dress in black with a floral print,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a shimmery floral jacquard make this dress the perfect way to channel modern glamour
1162,a man wearing a green sweatshirt and black pants,a classic crewneck sweatshirt is cut from a soft fleece blend for easy comfort in a classic fit,long sleeved green long sleeved sweater with a hoodie,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,subtle distressing at the edge add lived in appeal to this relaxed weekend ready sweatshirt
1163,a black suitcase with wheels and a black bag,endurance minded ballistic nylon defines a smart garment bag designed for durability and convenience with a garment bag zip door and garment bag zip door lock and garment bag zip pull pull pull pull pull pull pull pull pull pull pull pull pull,this bag is made from recycled plastic.,a sleek and versatile jacket with a removable hood is designed to keep you warm and dry,camo covered tech canvas defines a compact carry on built for modern style and utility
1164,a woman wearing a black floral shirt,a vibrant floral print is the perfect choice for the sunny day in this flowy wrap blouse with a waist defining tie at the waist,black floral blouse with a v - neck,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,a vintage floral print make a pretty statement on an airy peplum top complete with a flattering surplice neckline
1165,a gold necklace with a small coin on it,a dainty disc and a dainty dot add a dainty element to this delicate chain necklace,sterling silver heart pendant with a gold heart in the center.,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,power up your polished look in this 18 karat gold plated necklace with a birthstone station one-piece to one side of the gleaming center pendant
1166,a woman wearing black pants and a crop top,a cropped top of stretchy crinkled fabric is designed with a square neckline and a cropped silhouette,black off the shoulder top,a bold plaid in a modern cut add to the laid back vibe of this sport tee,soft ruching add dimension to a cropped top styled with squared front and back neckline and long blousy sleeve
1167,a woman wearing a black and brown tie dye sweater,a soft and cozy tie dye pattern add a touch of vintage romance to this cozy cashmere sweater,black long sleeved shirt with a long sleeved shirt,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,wave of tie dye wash over a weekend pullover in cozy french terry updated with balloon sleeve
1168,a woman in a grey shirt and jeans,a soft and stretchy cotton tee is designed with a signature signature logo embossed patch at the chest,cute little dogs on a t - shirt,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a choice of shimmering metallic stripe or a multilingual graphic brighten up this cap sleeve tee of soft cotton jersey
1169,a woman in a red dress with a floral print,a pretty floral print dress with a halter neckline and a waist defining tie is cut from a soft stretch crepe fabric for a flattering fit and flare silhouette,red dress in brown,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,sway throughout your day in this crossover halter dress in texturally striped burnout fabric and a flattering fit and flare silhouette
1170,a woman wearing a black top and pants,a signature jacquard weave of tonal jacquard elevates the look of these slim straight leg pants tailored in a slim fit from italy,person by person - - the pants,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,rich opulent brocade brings beautiful dimension to polished pants tailored with a super high waist and slim ankle length leg
1171,a woman in a black and pink dress,a boldly simple and sophisticated dress is cut from a stretchy italian stretch wool blend with a boldly striped design,black and white dress with a short skirt,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a stunning study in contrast that earns an a this dress is party ready in an off the shoulder black velvet bodice atop a pleat flared satin skirt
1172,jimmy sand wedge sand wedges,a jute wrapped platform and jute trim add a signature twist to this chic sandal,slip on sandals in silver and brown,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,tiny stud bring subtle shine to an edgy espadrille style flat with an elasticized strap that secures your ankle
1173,a man wearing a black jacket and jeans,a zip out hood and a zip out hood make this jacket a comfortable a it is comfortable,men ' s black men ' s jacket with a hoodie,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,inky black canvas keep the look both urban and rugged in a utilitarian trucker jacket sporting a hood layered inside the collar and a lining of soft fleece
1174,a woman wearing a red and blue shirt and black pants,a vibrant print of a stylized butterfly print is cut from soft italian silk in a classic menswear cut,black and white blouse with a red and white print on the front,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,a long sleeve tee of flowy silk turn head with a festive pageantry of prancing horse waving flag and royal crown
1175,a woman wearing a gray bra with black lace,a soft and stretchy convertible demi cup bra is designed with a convertible underwire cup for a smooth smooth and comfortable fit,blue bra with black lace trim. available in my etsy shop.,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a classic demi cup bra get a gorgeous makeover with sheer floral lace and silky blue satin
1176,a pair of black leather boots with a buckle,a signature cushioned arch support footbed offer all day comfort in this water resistant boot with a cushioned arch support footbed for all day comfort,i ' m not sure what these shoes are but they are cute.,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,refine your casual style while stepping out in comfort with a sleek wedge boot featuring a signature cushioned footbed
1177,a woman wearing a white sweater and jeans,a cozy and cozy sweater is made of a cozy wool and cashmere blend with a cozy high neck and puffed sleeve,off the shoulder top in light blue jeans,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,chunky ribbing enhances the cozy comfort of this boxy sweater knit from a soft alpaca blend by a woman s cooperative of peruvian artisan
1178,a woman wearing a black top with white flowers,a dainty floral print is embroidered on this soft jersey tee that s a comfortable a it is comfortable,black floral top with white daisies on the front,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,a ted fave this sleek and stretchy tee is turned into the season s freshest pick with a tumble of sweet daisy
1179,a man in a blue shirt and black pants,a dense texture defines versatile flat front pants cut from pure wool and fitted with a smart flat front,men ' s black trousers with a white shirt,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,a slim silhouette defines modern italian dress pants crafted from crisp finely textured wool for elevated appeal
1180,a woman in a white shirt and jeans,a slimming dark wash with fading and whiskering enhances the vintage vibe of these slimming jeans,jeans - - i ' m not sure if i ' m a fan of jeans this would be cute.,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,carefree frayed hem make these mid rise jeans perfect for sunny day adventure or simply flaunting your fabulous footwear
1181,a woman in a purple and pink patterned swimsuit,a vibrant snake print make this bodysuit feel like you ve been a wild in the wild,swimsuit in purple with pink flowers,a bold plaid in a modern cut add to the laid back vibe of this sport tee,made from soft and comfy stretch lace this colorful bodysuit ha retro high cut leg and a thongs back to work a a foundation or a standalone one-piece
1182,the north face women ' s resolve jacket,this lightweight jacket is designed to be a comfortable a you stroll the boardwalk or the boardwalk or the boardwalk or the boardwalk,a long sleeved red and black coat with a white collar and a white t - shirt underneath.,a bold plaid in a modern cut add to the laid back vibe of this sport tee,rainy day have nothing on this water repellent jacket that s a contemporary longline take on the traditional bomber style
1183,a man wearing a striped shirt and white pants,a classic polo in a classic stripe pattern is cut from soft pima cotton and fitted with a spread collar and rounded adjustable button cuff,men ' s polo shirt in navy blue and white,a bold plaid in a modern cut add to the laid back vibe of this sport tee,crisp stripe ring a breathable quick drying polo crafted with added sun protection and four way stretch that move easily with you in any activity
1184,a woman in a black top and grey pants,a ribbed turtleneck sweater is a cozy essential for your closet of cozy staple,black shirt in black,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,this chunky sleeveless sweater look great alone but also top easily with it funnel neck low cut armhole and slim fit
1185,a woman wearing a floral top and jeans,a colorful floral print is sweetened with a lace up bustier and a low neckline,floral top with a floral print,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a tie topped keyhole play peekaboo at the v neckline of a lace trimmed camisole scattered with bright flower
